"","dispatch_date","Aggravated Assault Firearm","Aggravated Assault No Firearm","All Other Offenses","Arson","Burglary Non-Residential","Burglary Residential","Disorderly Conduct","DRIVING UNDER THE INFLUENCE","Embezzlement","Forgery and Counterfeiting","Fraud","Gambling Violations","Homicide - Criminal","Homicide - Criminal ","Homicide - Justifiable ","Liquor Law Violations","Motor Vehicle Theft","Narcotic / Drug Law Violations","Offenses Against Family and Children","Other Assaults","Other Sex Offenses (Not Commercialized)","Prostitution and Commercialized Vice","Public Drunkenness","Rape","Receiving Stolen Property","Robbery Firearm","Robbery No Firearm","Theft from Vehicle","Thefts","Vagrancy/Loitering","Vandalism/Criminal Mischief","Weapon Violations"
"39",2010-02-08,4,12,83,1,3,17,3,12,1,2,35,0,0,1,0,0,10,14,2,52,1,0,1,1,0,7,10,31,41,0,33,1
"40",2010-02-09,3,8,72,1,9,16,10,2,1,2,23,0,2,0,0,0,11,43,0,56,2,3,1,1,0,8,10,18,51,1,36,7
"41",2010-02-10,3,6,31,0,3,3,4,0,0,0,3,0,0,0,0,1,2,8,1,24,3,0,0,0,0,5,4,8,10,1,26,0
"42",2010-02-11,3,7,54,0,6,4,2,5,1,0,11,0,2,0,0,0,7,15,0,42,2,0,1,1,0,2,5,19,34,5,28,0
"43",2010-02-12,3,11,69,0,3,14,8,10,0,0,24,1,2,0,0,0,10,22,0,44,3,0,0,1,0,7,4,11,34,1,26,2
"44",2010-02-13,11,15,60,0,4,9,4,16,0,0,14,0,0,0,0,1,9,25,1,51,4,0,2,3,0,7,6,22,35,0,45,2
"45",2010-02-14,2,19,103,1,5,9,5,10,0,1,14,0,2,0,0,0,2,11,0,69,0,0,0,2,0,6,10,26,38,0,31,1
"46",2010-02-15,1,9,202,2,5,15,5,13,0,0,17,0,1,0,0,0,8,21,0,40,7,0,2,2,0,5,9,22,33,1,54,1
"47",2010-02-16,2,10,69,0,4,17,9,7,3,1,34,0,0,0,0,1,11,44,0,57,6,7,0,5,0,3,7,24,56,1,37,6
"48",2010-02-17,4,18,64,2,1,20,7,11,1,2,30,1,1,0,0,1,17,52,0,70,3,4,0,1,0,4,14,31,41,6,40,6
"49",2010-02-18,0,13,106,1,7,14,12,11,2,1,33,0,0,0,0,0,11,55,0,67,6,9,0,0,0,8,11,39,53,0,43,3
"50",2010-02-19,5,10,57,0,1,19,7,13,3,2,31,0,0,0,0,3,18,48,1,82,4,2,1,1,1,6,11,48,55,1,35,7
"51",2010-02-20,3,22,141,2,4,14,10,31,0,0,27,0,2,0,0,5,9,50,1,52,2,4,1,1,0,10,10,33,53,3,44,4
"52",2010-02-21,8,23,133,2,5,10,6,26,0,0,8,0,1,0,0,0,14,23,0,60,1,0,3,4,0,7,8,39,39,0,59,2
"53",2010-02-22,4,19,70,1,3,26,7,12,1,1,40,0,0,0,0,0,15,35,0,81,3,0,3,4,0,12,9,33,65,1,48,4
"54",2010-02-23,7,10,62,0,2,19,4,8,0,0,29,0,0,0,0,0,11,40,1,65,3,2,1,3,0,10,12,32,57,1,35,5
"55",2010-02-24,8,8,98,2,2,23,14,13,1,3,32,0,0,0,0,0,11,50,1,72,1,9,3,2,0,6,12,47,50,2,51,8
"56",2010-02-25,7,13,70,1,1,18,6,9,2,3,31,0,1,0,0,0,11,43,1,37,1,0,0,0,1,5,10,37,54,1,31,1
"57",2010-02-26,3,7,61,0,7,7,6,10,2,1,22,0,1,0,0,1,8,41,0,41,3,0,2,2,0,7,5,32,51,1,28,3
"58",2010-02-27,1,19,98,1,6,14,12,19,0,3,17,0,0,0,0,0,8,46,0,68,1,2,1,1,0,9,13,30,46,2,36,2
"59",2010-02-28,7,15,135,2,2,10,10,23,0,1,5,0,0,0,0,0,13,37,0,49,1,0,4,0,0,4,4,45,32,1,58,3
"60",2010-03-01,2,13,93,0,8,23,9,2,2,2,23,0,1,0,0,0,16,27,0,67,10,0,0,2,0,13,17,36,48,1,45,7
"61",2010-03-02,7,14,105,3,9,21,10,13,0,2,32,0,1,0,0,0,17,54,0,64,2,4,2,2,0,6,10,48,51,10,40,5
"62",2010-03-03,3,23,75,1,1,24,12,16,0,3,28,0,0,0,0,0,11,55,0,69,5,3,2,4,1,10,15,40,54,5,43,6
"63",2010-03-04,4,8,78,2,7,27,14,17,2,3,24,0,1,1,0,1,20,63,1,90,4,2,2,3,0,7,14,42,64,5,43,6
"64",2010-03-05,4,13,48,0,4,17,15,13,0,7,29,0,0,0,0,1,10,28,0,67,5,6,1,2,0,13,14,41,47,1,49,9
"65",2010-03-06,10,16,111,1,4,24,12,21,0,1,11,0,0,0,0,4,14,38,0,67,2,1,1,3,0,9,13,39,41,0,46,3
"66",2010-03-07,10,13,94,2,2,14,11,14,0,2,6,0,1,0,0,0,14,19,1,53,2,0,4,7,0,4,11,47,51,1,74,7
"67",2010-03-08,16,12,75,4,2,22,5,13,0,2,39,0,0,0,0,0,19,36,0,65,6,0,0,0,0,7,13,28,56,5,46,7
"68",2010-03-09,6,29,79,3,1,13,11,19,1,4,32,0,0,0,0,0,20,44,0,78,5,10,0,2,1,6,7,36,48,6,54,7
"69",2010-03-10,5,21,114,3,9,33,15,16,0,2,37,1,2,0,0,2,12,78,0,86,1,8,6,3,0,11,13,42,57,3,45,9
"70",2010-03-11,9,14,133,0,3,36,17,15,2,3,37,0,2,1,0,2,10,62,0,91,5,6,2,3,0,8,13,40,55,5,55,3
"71",2010-03-12,3,16,58,1,4,20,11,17,1,1,34,0,1,0,0,0,14,41,0,75,6,0,2,1,2,4,7,41,50,5,29,6
"72",2010-03-13,0,24,80,1,2,10,13,35,1,0,16,0,2,0,0,0,14,23,0,42,3,0,2,1,0,8,7,43,31,0,38,3
"73",2010-03-14,6,11,66,1,6,20,14,16,0,0,14,0,1,0,0,0,13,16,1,60,3,0,0,3,0,4,11,41,29,4,63,1
"74",2010-03-15,4,14,88,2,3,21,4,16,1,1,28,0,0,0,0,0,22,19,0,64,3,0,2,7,0,6,11,53,53,2,50,8
"75",2010-03-16,5,12,101,1,4,20,9,13,0,0,29,0,2,0,0,2,13,62,2,79,5,5,0,2,0,8,6,38,44,3,49,8
"76",2010-03-17,7,12,103,0,2,30,23,15,0,1,22,1,2,0,0,1,11,47,0,88,5,2,2,0,1,3,10,29,60,2,35,4
"77",2010-03-18,11,17,103,2,1,17,25,27,3,3,37,0,0,0,0,2,13,40,0,78,7,13,3,3,0,8,9,32,67,2,41,9
"78",2010-03-19,5,19,87,0,6,20,15,17,2,1,24,0,0,1,0,0,18,43,0,84,4,2,1,1,1,7,15,37,60,1,49,2
"79",2010-03-20,6,22,121,1,0,20,14,32,1,1,18,0,0,0,0,3,11,42,1,65,3,3,2,3,0,8,8,44,49,7,45,4
"80",2010-03-21,8,21,132,2,1,20,12,20,0,1,6,0,0,0,0,2,17,22,1,69,1,1,1,6,0,4,9,56,53,0,64,5
"81",2010-03-22,5,12,77,0,6,22,2,10,1,0,31,0,2,0,0,1,14,25,0,94,5,0,0,5,0,2,15,28,65,4,44,3
"82",2010-03-23,2,13,61,1,3,22,9,8,3,0,24,0,1,0,0,0,13,52,0,80,5,4,3,3,0,2,8,42,70,4,44,6
"83",2010-03-24,2,23,98,1,4,29,27,16,1,1,28,1,0,0,0,0,20,57,0,99,4,2,2,4,0,14,15,45,54,1,55,9
"84",2010-03-25,8,19,96,1,4,32,17,12,2,5,26,0,2,0,0,0,14,54,0,89,5,5,1,2,0,11,15,44,52,2,44,5
"85",2010-03-26,4,19,75,0,1,27,18,16,1,5,28,1,1,1,0,1,16,38,0,80,6,0,1,0,1,7,10,45,69,1,49,6
"86",2010-03-27,9,21,89,0,4,13,14,20,0,0,12,0,1,0,0,0,17,41,2,55,5,3,2,1,0,6,16,51,47,1,39,0
"87",2010-03-28,3,9,101,0,3,12,10,26,0,0,6,0,1,0,0,3,10,20,0,62,1,0,2,0,0,9,5,40,47,3,54,0
"88",2010-03-29,7,13,68,0,7,27,8,5,0,1,34,0,0,0,0,0,12,23,3,63,3,0,0,4,0,11,13,56,60,1,41,6
"89",2010-03-30,5,17,115,1,5,33,6,9,1,1,28,0,0,1,0,0,20,39,0,61,3,11,0,3,0,6,11,50,53,2,37,1
"90",2010-03-31,11,21,197,1,3,28,15,8,0,1,29,0,0,1,0,2,14,61,3,49,1,10,2,0,0,6,14,48,53,2,56,4
"91",2010-04-01,15,20,153,1,3,20,11,15,3,1,30,0,0,0,0,1,16,76,0,57,3,4,3,1,0,9,18,50,80,3,58,0
"92",2010-04-02,15,20,114,0,3,20,16,22,0,2,25,1,1,0,0,2,13,65,0,65,4,4,1,3,0,7,12,47,43,3,43,7
"93",2010-04-03,11,18,118,1,1,13,13,32,0,1,10,0,1,0,0,2,14,34,0,44,4,0,1,3,0,7,12,51,52,3,57,1
"94",2010-04-04,2,15,116,0,6,14,18,25,0,1,7,0,0,0,0,2,11,17,0,58,0,0,1,2,0,5,12,33,37,2,53,2
"95",2010-04-05,8,22,78,1,11,21,5,10,1,1,41,0,0,0,0,0,12,27,0,64,2,9,0,1,0,5,8,52,62,3,61,7
"96",2010-04-06,2,26,109,1,4,20,22,7,0,4,31,0,1,0,0,3,12,47,2,71,8,10,0,4,1,7,12,29,59,4,38,9
"97",2010-04-07,8,15,129,3,11,24,15,10,0,4,26,0,1,0,0,4,10,50,0,89,5,16,0,2,0,7,20,48,57,6,36,5
"98",2010-04-08,5,20,112,0,6,21,13,14,1,2,30,0,1,1,0,2,22,55,0,102,3,3,0,3,0,8,12,45,69,2,46,8
"99",2010-04-09,3,24,70,1,4,22,11,5,3,3,26,0,1,0,0,0,13,42,1,94,3,3,4,5,0,7,12,44,75,3,43,4
"100",2010-04-10,10,15,76,2,3,22,17,37,0,2,11,0,0,0,0,1,13,33,0,60,8,0,3,1,0,4,11,52,50,2,66,4
"101",2010-04-11,14,21,103,1,2,8,9,19,0,0,15,0,0,0,0,2,11,19,0,57,0,0,4,2,0,10,19,43,49,0,51,3
"102",2010-04-12,7,16,75,1,7,21,4,14,0,2,32,0,2,0,0,1,13,16,1,70,4,0,0,1,0,9,15,46,73,4,51,8
"103",2010-04-13,3,18,100,1,7,36,11,15,0,3,27,0,0,0,0,0,21,63,0,79,4,2,1,4,0,7,12,37,64,2,46,3
"104",2010-04-14,8,22,100,1,3,28,19,10,2,1,21,0,1,0,0,3,13,56,1,78,6,0,2,0,0,14,9,43,56,4,50,5
"105",2010-04-15,4,22,159,2,4,19,6,8,1,2,36,0,1,0,0,1,16,48,0,97,5,9,1,4,1,7,13,40,69,2,47,5
"106",2010-04-16,6,21,84,3,6,20,20,15,1,2,23,0,0,0,0,2,19,48,0,91,11,0,7,1,0,6,19,57,62,5,53,6
"107",2010-04-17,3,24,110,1,0,17,10,29,1,0,26,0,0,0,0,2,21,45,0,62,4,0,0,2,0,12,16,53,56,2,55,2
"108",2010-04-18,5,13,111,0,4,15,13,31,1,0,11,0,0,0,0,1,13,17,0,67,4,0,2,1,1,12,4,41,56,5,62,2
