"","dispatch_date","Aggravated Assault Firearm","Aggravated Assault No Firearm","All Other Offenses","Arson","Burglary Non-Residential","Burglary Residential","Disorderly Conduct","DRIVING UNDER THE INFLUENCE","Embezzlement","Forgery and Counterfeiting","Fraud","Gambling Violations","Homicide - Criminal","Homicide - Criminal ","Homicide - Justifiable ","Liquor Law Violations","Motor Vehicle Theft","Narcotic / Drug Law Violations","Offenses Against Family and Children","Other Assaults","Other Sex Offenses (Not Commercialized)","Prostitution and Commercialized Vice","Public Drunkenness","Rape","Receiving Stolen Property","Robbery Firearm","Robbery No Firearm","Theft from Vehicle","Thefts","Vagrancy/Loitering","Vandalism/Criminal Mischief","Weapon Violations"
"720",2011-12-21,5,12,56,2,4,34,10,9,0,0,21,0,0,0,0,0,15,43,1,67,6,9,0,2,0,24,14,40,63,2,38,7
"721",2011-12-22,5,23,66,1,7,39,19,13,1,0,27,0,0,0,0,0,22,38,1,75,7,5,0,2,0,18,18,42,76,8,43,5
"722",2011-12-23,10,11,46,0,2,31,4,16,2,3,17,0,2,0,0,1,17,27,0,61,5,5,0,2,0,18,18,48,82,1,53,10
"723",2011-12-24,12,14,42,1,3,27,0,17,2,2,8,0,0,0,0,0,17,13,0,45,5,4,0,1,0,9,9,33,55,0,50,1
"724",2011-12-25,5,13,17,1,1,18,2,4,0,0,3,0,0,0,0,0,11,2,0,47,1,0,0,3,0,6,6,24,17,0,37,0
"725",2011-12-26,8,11,50,1,8,31,2,9,1,0,7,0,0,0,0,0,16,10,1,51,3,0,0,2,0,14,11,45,52,0,45,1
"726",2011-12-27,4,11,71,1,6,36,2,11,0,1,21,0,0,0,0,0,12,24,1,36,8,9,0,3,0,16,11,33,46,0,49,7
"727",2011-12-28,5,12,64,8,6,33,10,8,2,1,25,0,1,0,0,1,22,34,1,52,4,7,3,2,0,17,15,34,68,1,42,4
"728",2011-12-29,12,10,87,2,4,30,6,7,0,0,16,1,1,0,0,0,21,31,0,53,3,0,1,2,1,11,16,44,58,3,49,3
"729",2011-12-30,6,19,63,2,10,32,7,13,2,0,26,0,0,0,0,1,20,36,0,65,5,2,0,1,0,12,14,38,51,1,42,7
"730",2011-12-31,6,18,65,1,5,21,7,14,1,3,8,0,1,0,0,1,18,25,1,49,1,0,0,1,0,6,12,30,51,0,56,7
"731",2012-01-01,14,37,29,4,4,27,9,24,0,1,4,0,4,1,0,1,14,5,5,71,2,0,1,4,0,6,15,31,46,0,82,12
"732",2012-01-02,6,15,51,4,6,33,1,7,0,1,15,0,0,0,0,0,12,7,0,48,3,0,0,1,0,17,13,43,66,1,58,4
"733",2012-01-03,4,24,59,3,7,33,12,9,2,1,30,0,1,0,0,0,21,38,0,70,2,0,0,1,0,15,9,35,62,2,50,3
"734",2012-01-04,5,10,59,1,7,31,13,6,3,0,35,1,0,0,0,0,14,44,0,56,5,3,1,0,0,9,8,32,52,1,41,3
"735",2012-01-05,13,9,78,2,7,29,18,18,1,0,33,0,0,0,0,1,19,49,0,62,9,2,2,3,1,13,16,35,67,1,31,7
"736",2012-01-06,14,15,75,1,1,26,5,9,5,2,27,0,0,0,0,2,20,46,0,76,3,4,0,4,0,12,9,30,57,0,47,8
"737",2012-01-07,4,17,91,2,3,32,6,16,0,0,16,0,0,0,0,0,10,27,1,52,2,1,1,2,0,11,11,39,60,0,47,4
"738",2012-01-08,1,10,82,0,6,28,5,19,0,1,8,0,0,0,0,0,15,10,0,56,4,0,0,1,0,3,16,25,50,0,50,2
"739",2012-01-09,5,7,56,1,14,39,2,6,1,0,20,0,1,0,0,1,28,12,1,80,5,0,0,1,1,8,18,34,67,2,35,4
"740",2012-01-10,9,10,74,2,3,32,11,10,0,3,26,0,3,2,0,0,24,52,0,67,2,7,1,1,0,12,4,28,51,4,43,3
"741",2012-01-11,4,15,63,3,8,36,18,13,1,0,24,0,2,0,0,2,21,44,0,68,4,0,4,4,0,9,14,33,60,0,35,4
"742",2012-01-12,2,13,83,1,8,32,18,11,3,1,33,0,2,0,1,0,21,48,0,50,3,11,0,1,0,5,14,38,75,2,30,4
"743",2012-01-13,12,22,80,0,12,37,9,13,2,0,25,0,1,0,0,0,11,40,0,71,8,2,1,2,0,9,18,32,68,0,28,7
"744",2012-01-14,2,13,115,2,9,19,8,24,0,0,16,0,1,1,0,4,13,33,0,51,1,9,1,2,0,10,20,23,52,1,42,4
"745",2012-01-15,4,10,89,5,3,22,2,21,1,2,14,0,0,0,0,1,16,12,0,43,1,0,0,1,0,8,4,28,42,1,66,5
"746",2012-01-16,4,18,85,0,6,25,3,12,1,1,29,0,0,0,0,0,11,16,0,60,4,2,1,3,0,8,11,31,49,1,41,0
"747",2012-01-17,11,12,106,0,9,45,6,13,1,0,27,0,1,0,0,1,8,23,0,66,4,7,0,6,0,8,11,43,65,1,49,5
"748",2012-01-18,2,9,129,3,4,35,11,11,0,0,31,0,0,0,0,1,13,52,0,68,3,4,0,5,0,10,10,46,76,0,33,8
"749",2012-01-19,6,13,91,4,2,32,14,10,0,3,27,1,3,0,0,0,14,33,0,78,6,2,2,0,0,16,17,32,69,1,49,4
"750",2012-01-20,6,13,93,1,7,26,11,14,3,1,29,0,1,0,0,3,11,36,0,77,6,3,0,2,0,12,12,30,67,2,40,8
"751",2012-01-21,11,13,86,0,3,14,10,21,2,0,16,0,0,0,0,0,10,19,0,50,4,0,3,0,0,2,12,28,29,2,30,1
"752",2012-01-22,3,7,84,0,6,13,2,11,0,0,12,0,0,0,0,0,6,9,0,47,4,0,1,2,1,8,9,28,33,3,25,4
"753",2012-01-23,5,12,54,2,7,31,3,6,0,1,26,0,2,0,0,0,14,14,0,66,12,0,1,0,0,10,4,29,55,1,35,7
"754",2012-01-24,3,18,93,2,5,30,20,8,1,2,32,0,1,0,0,0,15,31,0,80,3,3,1,0,0,10,15,35,74,2,31,6
"755",2012-01-25,3,19,84,1,2,31,11,8,0,2,26,1,3,0,0,0,18,40,0,78,4,4,1,0,0,6,9,26,63,1,40,9
"756",2012-01-26,6,14,94,6,6,38,13,15,0,1,23,0,0,1,0,0,13,35,0,62,2,2,0,3,0,3,11,42,61,1,41,10
"757",2012-01-27,9,17,90,2,3,29,12,18,1,1,33,1,0,0,0,0,18,29,0,73,5,2,0,1,0,8,12,48,59,3,41,3
"758",2012-01-28,2,18,134,3,5,23,20,31,0,0,10,0,0,0,0,1,14,24,1,60,4,1,2,3,0,12,10,39,64,6,46,3
"759",2012-01-29,5,12,102,3,6,20,16,16,1,0,6,0,0,0,0,0,9,10,0,63,1,0,3,0,0,8,10,33,45,3,54,3
"760",2012-01-30,9,13,83,0,6,27,4,12,0,0,37,0,0,0,0,0,16,15,0,68,2,0,0,2,0,7,11,48,74,4,44,6
"761",2012-01-31,5,12,128,0,5,20,24,13,6,0,30,0,2,0,0,1,11,61,1,69,7,11,1,3,0,4,18,33,74,3,35,7
"762",2012-02-01,3,17,106,0,3,27,11,14,0,3,31,0,0,0,0,1,18,49,0,79,2,3,2,1,0,7,13,36,62,1,39,11
"763",2012-02-02,4,11,87,2,3,25,14,9,2,2,36,0,0,0,0,0,9,46,1,75,4,0,1,8,0,11,10,29,68,4,37,8
"764",2012-02-03,5,21,104,2,28,35,15,12,1,1,37,0,1,1,0,5,16,34,1,63,4,0,2,4,0,9,14,38,51,2,59,8
"765",2012-02-04,11,16,123,4,3,26,13,28,0,2,19,0,0,0,0,5,16,28,0,47,1,3,4,0,0,7,10,44,47,0,36,1
"766",2012-02-05,10,19,104,4,2,12,15,20,1,0,8,0,1,0,0,3,8,19,0,54,3,0,1,5,0,2,3,31,39,0,50,5
"767",2012-02-06,6,21,76,1,6,35,14,12,0,0,38,0,2,0,0,0,13,25,0,67,4,0,1,0,0,8,3,43,67,0,35,2
"768",2012-02-07,3,11,96,1,4,31,19,11,0,1,37,0,0,0,0,0,11,40,1,82,3,12,1,4,0,6,11,34,53,9,34,0
"769",2012-02-08,0,8,52,2,2,27,8,9,2,0,22,0,0,0,0,1,18,38,3,76,5,10,1,4,0,6,13,29,56,0,40,3
"770",2012-02-09,7,14,69,3,4,34,8,8,0,0,36,1,1,0,0,2,11,32,1,90,5,7,1,2,0,6,16,26,60,1,28,4
"771",2012-02-10,9,22,126,2,1,22,8,13,1,0,31,1,1,1,0,4,18,32,0,77,5,2,1,0,0,8,14,35,73,0,29,4
"772",2012-02-11,4,18,87,2,2,17,12,23,0,0,19,0,2,0,0,2,12,18,2,56,2,0,3,0,0,12,20,38,49,0,33,2
"773",2012-02-12,6,14,74,1,7,13,4,17,0,2,11,0,0,0,0,1,16,12,0,48,4,0,0,3,0,9,6,24,36,0,35,4
"774",2012-02-13,3,15,98,0,4,21,3,19,0,1,35,0,2,0,0,0,10,12,0,59,7,0,2,1,0,10,10,31,70,1,39,8
"775",2012-02-14,2,14,133,6,1,16,11,13,0,0,33,0,1,0,0,0,14,33,1,63,1,6,3,5,0,2,9,31,51,2,36,8
"776",2012-02-15,4,21,123,0,5,26,17,18,1,2,42,0,0,0,0,1,14,49,1,78,5,4,2,4,0,11,12,40,67,4,41,4
"777",2012-02-16,2,18,103,5,2,15,6,15,2,1,36,0,1,0,0,0,11,32,2,64,5,0,0,2,0,6,11,31,45,6,31,6
"778",2012-02-17,12,12,128,1,3,22,16,15,1,0,34,0,0,0,0,1,13,34,0,68,5,1,1,1,0,7,9,37,46,1,28,5
"779",2012-02-18,4,24,170,1,4,19,11,17,0,0,9,0,0,0,0,0,11,36,0,68,2,1,3,3,0,6,7,37,59,1,48,3
"780",2012-02-19,5,17,172,2,2,16,9,16,1,0,9,0,0,0,0,11,12,17,1,67,0,0,3,3,1,12,12,46,52,1,54,1
"781",2012-02-20,4,14,139,0,2,19,20,3,0,0,13,0,0,0,0,0,9,24,0,52,1,9,0,0,0,7,10,43,47,1,41,1
"782",2012-02-21,5,11,101,0,2,20,9,13,1,0,29,0,1,0,0,0,15,55,0,83,5,4,1,3,0,8,8,34,69,1,44,3
"783",2012-02-22,5,11,108,0,4,16,13,10,1,0,28,0,1,0,0,0,14,52,0,90,7,7,1,3,0,9,11,34,56,1,45,3
"784",2012-02-23,12,18,111,0,3,24,12,15,0,1,32,0,0,0,0,3,6,47,0,70,5,6,2,3,1,10,8,45,62,3,35,6
"785",2012-02-24,6,16,102,1,8,26,17,15,2,3,25,0,0,0,0,1,16,48,0,62,5,5,1,2,0,5,19,49,52,3,35,4
"786",2012-02-25,7,13,119,1,4,20,12,23,1,1,16,0,1,0,0,1,10,27,1,56,1,4,2,3,2,11,10,36,60,4,48,10
"787",2012-02-26,3,16,117,2,5,14,14,43,0,0,6,0,0,0,0,0,11,21,0,65,6,0,0,0,1,8,6,26,45,0,68,6
"788",2012-02-27,6,16,122,3,6,32,17,13,1,0,30,0,2,0,0,0,11,18,0,73,6,0,2,3,0,4,11,34,59,0,40,9
"789",2012-02-28,11,16,105,3,4,33,14,8,1,1,23,0,0,0,0,0,16,52,1,61,5,5,0,2,0,4,15,45,41,7,38,5
"790",2012-02-29,4,15,84,1,2,26,8,9,0,1,35,0,1,0,0,0,19,26,0,89,4,2,1,3,0,11,9,39,58,5,35,3
"791",2012-03-01,1,6,83,2,2,17,11,16,1,0,31,0,1,0,0,0,12,32,2,77,6,6,1,4,0,6,9,38,65,1,35,2
"792",2012-03-02,11,14,99,2,2,19,18,16,2,1,34,0,0,0,0,0,6,38,3,87,9,0,2,4,0,6,8,43,66,8,50,6
"793",2012-03-03,10,17,109,0,4,19,12,26,1,0,17,0,1,1,0,0,7,28,1,69,2,1,1,2,0,4,15,28,40,2,49,1
"794",2012-03-04,10,19,73,0,4,18,4,22,0,0,20,0,1,0,1,0,4,12,1,72,2,0,2,1,0,9,11,29,42,0,48,3
"795",2012-03-05,3,13,89,1,11,27,8,7,0,1,29,0,1,0,0,0,14,15,0,68,5,0,0,6,0,7,11,27,53,0,41,5
"796",2012-03-06,5,26,76,0,6,22,8,9,1,0,53,0,0,0,0,0,5,47,1,84,3,4,0,3,0,9,17,32,65,2,35,5
"797",2012-03-07,3,19,86,4,3,17,15,14,0,0,42,0,0,0,0,0,13,32,0,67,2,4,0,3,1,5,13,37,78,0,46,5
"798",2012-03-08,12,14,104,1,5,21,11,6,0,1,33,0,0,0,0,0,11,36,0,78,11,7,0,5,0,7,8,34,56,1,41,7
"799",2012-03-09,2,9,112,1,5,32,11,14,1,0,40,0,0,0,0,3,19,40,0,59,3,5,1,3,0,10,13,28,57,1,38,7
"800",2012-03-10,3,17,162,2,2,27,16,31,0,1,22,0,4,0,0,1,8,35,0,64,2,4,2,2,0,6,12,21,43,1,58,3
"801",2012-03-11,9,15,99,1,8,21,10,21,0,0,12,0,1,0,0,1,9,20,0,64,5,0,5,4,0,10,8,20,43,0,43,1
"802",2012-03-12,9,25,106,4,9,24,5,8,1,0,34,0,3,0,0,0,6,12,1,73,2,0,1,1,0,6,11,37,67,2,47,4
"803",2012-03-13,7,15,143,6,5,22,10,10,2,2,41,0,1,0,0,0,11,37,0,76,4,7,0,1,0,9,13,31,65,2,47,3
"804",2012-03-14,4,17,158,0,3,13,18,10,0,1,35,0,1,2,0,1,9,42,0,65,8,11,0,3,0,8,16,33,57,1,44,7
"805",2012-03-15,6,13,106,2,8,31,10,14,0,2,34,1,0,0,0,0,8,47,0,81,7,2,2,1,0,8,10,37,64,2,36,6
"806",2012-03-16,5,13,144,1,4,31,21,15,0,0,39,1,0,1,0,1,8,40,0,91,6,14,1,0,0,6,16,28,72,1,39,10
"807",2012-03-17,6,19,166,1,5,23,19,31,2,3,15,0,1,0,0,5,6,35,0,68,5,9,4,3,0,7,9,32,58,0,71,6
"808",2012-03-18,8,30,102,3,5,26,13,14,0,0,9,0,0,0,0,0,7,21,1,71,2,0,1,5,0,7,14,40,43,0,53,2
"809",2012-03-19,9,14,101,4,7,28,6,9,0,0,31,0,2,1,0,4,7,18,2,62,5,0,2,2,0,6,12,35,88,5,61,3
"810",2012-03-20,15,16,117,2,4,32,12,8,1,1,32,0,0,2,0,1,3,48,0,84,6,4,0,3,0,9,12,31,67,1,52,6
"811",2012-03-21,3,19,118,1,5,15,6,6,1,2,34,0,0,0,0,1,5,31,0,76,8,8,2,2,0,11,14,33,73,1,53,6
"812",2012-03-22,5,15,104,3,5,27,19,4,1,1,32,0,1,0,0,1,10,30,1,79,3,0,0,1,0,6,10,40,67,0,50,5
"813",2012-03-23,4,14,166,1,2,15,10,16,2,3,34,0,0,0,0,4,11,46,0,93,4,4,1,3,0,5,16,26,57,0,49,8
"814",2012-03-24,5,17,151,3,4,25,17,15,0,2,31,1,2,1,0,1,3,29,0,62,5,4,1,3,0,1,8,36,41,1,53,2
"815",2012-03-25,8,12,112,3,4,19,8,13,0,0,13,0,0,0,0,2,4,21,1,65,2,0,1,0,0,4,10,35,48,0,47,3
"816",2012-03-26,6,16,76,1,5,36,10,7,2,2,37,0,1,0,0,0,5,16,1,77,6,0,1,3,0,8,9,45,69,0,48,5
"817",2012-03-27,7,16,87,5,0,27,8,8,1,0,40,0,0,0,0,1,7,36,0,73,10,3,0,5,1,6,9,24,68,1,47,3
"818",2012-03-28,6,15,71,1,9,31,12,11,0,2,33,0,2,0,0,1,5,35,1,79,8,3,0,6,0,5,6,36,77,1,38,8
"819",2012-03-29,11,14,109,3,4,18,13,11,0,2,23,1,0,0,0,2,3,40,0,90,6,7,0,0,0,4,6,32,55,1,56,10
"820",2012-03-30,6,7,102,1,1,32,15,19,0,2,28,0,1,0,0,6,4,38,0,86,8,2,1,4,0,10,17,34,50,1,41,0
"821",2012-03-31,6,17,132,1,3,17,16,18,0,0,7,0,1,1,0,0,6,29,0,52,2,0,3,1,0,8,12,36,54,1,57,2
"822",2012-04-01,9,11,103,3,3,22,9,21,0,0,7,0,2,0,0,1,7,10,0,49,4,0,1,2,0,5,16,29,51,2,55,4
"823",2012-04-02,1,17,119,2,12,29,8,7,0,0,26,0,0,0,0,1,9,14,0,53,3,0,0,2,0,11,9,38,74,0,54,3
"824",2012-04-03,9,8,126,0,4,26,7,8,4,1,35,0,0,0,0,4,3,44,0,63,9,5,5,3,0,5,14,34,56,8,36,5
"825",2012-04-04,9,17,201,4,2,18,13,15,0,1,28,0,0,0,0,3,10,41,1,58,4,0,2,3,0,9,15,52,83,3,55,1
"826",2012-04-05,9,19,242,0,1,18,24,11,0,1,27,0,0,0,0,0,4,51,1,75,7,1,3,2,0,5,9,26,72,1,56,5
"827",2012-04-06,2,23,143,1,3,19,5,19,1,1,30,0,2,0,0,1,5,41,0,56,1,9,1,6,0,6,11,32,68,2,56,5
"828",2012-04-07,8,17,162,2,1,20,12,25,0,1,13,1,1,0,0,13,9,40,2,74,1,2,4,0,0,10,10,34,58,0,61,3
"829",2012-04-08,6,18,113,5,3,21,12,14,0,0,5,0,0,0,0,0,7,7,0,59,0,0,1,1,0,7,10,34,38,0,49,0
"830",2012-04-09,8,20,83,0,3,25,8,9,0,1,40,0,0,0,0,0,8,16,1,62,3,0,2,1,0,6,15,48,64,1,60,4
"831",2012-04-10,7,14,109,0,4,29,13,5,4,0,26,0,0,0,0,0,11,48,1,68,3,4,0,2,0,5,19,31,67,0,53,5
"832",2012-04-11,6,11,84,0,7,23,12,8,0,1,23,0,2,0,0,3,9,41,2,89,12,4,1,1,0,3,16,52,69,0,41,5
"833",2012-04-12,4,16,91,2,5,24,10,13,0,1,32,1,0,1,0,0,5,31,1,76,6,6,2,4,0,6,13,34,55,0,42,7
"834",2012-04-13,8,10,134,0,2,24,10,25,1,1,19,1,1,0,0,2,4,45,0,89,7,4,1,5,0,6,9,46,68,1,39,4
"835",2012-04-14,6,15,142,1,8,14,11,14,1,0,13,1,2,0,0,2,4,40,0,69,3,6,1,2,0,6,10,34,56,0,49,5
"836",2012-04-15,8,15,120,0,6,18,17,18,0,0,9,0,0,1,0,0,10,16,0,59,3,0,1,5,0,6,17,47,55,0,56,0
"837",2012-04-16,4,14,84,0,1,35,10,7,1,0,30,0,1,0,0,1,8,17,1,68,3,4,0,1,0,8,11,39,84,4,47,3
"838",2012-04-17,4,31,117,2,4,18,13,11,2,0,23,0,1,0,0,1,7,55,0,88,2,5,1,1,0,10,9,32,90,0,45,7
"839",2012-04-18,5,22,167,2,3,25,24,10,1,0,31,0,0,0,0,0,8,42,1,81,3,4,1,1,0,12,11,33,70,0,52,2
"840",2012-04-19,11,20,116,1,10,25,15,11,0,0,29,0,0,0,0,0,8,39,0,86,5,3,0,2,0,10,10,37,71,1,41,7
"841",2012-04-20,14,22,104,2,7,19,14,11,0,0,40,0,2,0,0,0,5,37,0,66,2,4,0,2,0,11,16,31,64,3,54,4
"842",2012-04-21,15,14,139,2,5,24,10,36,0,0,10,0,0,0,0,1,5,40,0,57,2,2,2,3,0,11,17,41,54,1,60,3
"843",2012-04-22,7,19,94,0,7,22,10,11,2,0,11,0,1,0,0,0,9,8,0,62,2,0,0,2,0,5,14,26,50,0,36,2
"844",2012-04-23,2,12,60,0,11,41,7,4,1,0,37,0,0,0,0,1,11,16,0,84,9,0,0,2,0,4,10,53,68,0,38,4
"845",2012-04-24,4,21,80,2,7,34,5,6,4,0,31,0,0,0,0,0,8,32,1,63,3,5,0,0,0,7,16,45,78,0,44,6
"846",2012-04-25,11,12,86,1,6,29,14,11,1,3,49,0,0,0,0,0,13,45,3,65,0,9,2,5,0,7,15,38,70,1,46,9
"847",2012-04-26,9,23,98,3,5,35,19,11,2,0,46,0,1,0,0,1,8,53,1,71,9,10,2,1,0,10,8,26,67,2,43,0
"848",2012-04-27,7,23,101,1,9,24,9,23,1,3,36,0,0,0,0,3,10,54,0,64,2,3,1,0,0,16,17,49,81,6,52,7
"849",2012-04-28,4,14,120,3,4,27,13,28,0,0,11,0,1,1,0,1,2,32,2,61,1,1,2,2,0,5,21,25,81,2,60,1
"850",2012-04-29,6,15,94,5,4,19,16,11,1,0,11,0,0,0,0,0,7,13,0,56,0,0,3,3,0,11,13,36,51,0,70,2
"851",2012-04-30,4,16,115,3,5,21,9,8,1,1,26,0,2,0,0,1,11,35,0,80,10,0,1,4,1,12,9,50,79,1,53,4
"852",2012-05-01,7,14,151,3,5,21,24,7,1,2,28,0,1,1,0,3,4,45,0,85,4,7,1,0,1,8,10,31,69,5,63,7
"853",2012-05-02,1,20,112,0,10,23,13,12,1,1,39,1,0,0,0,0,9,34,2,72,4,5,0,1,1,7,6,28,69,2,57,5
"854",2012-05-03,8,15,108,1,4,31,13,8,1,1,38,0,1,0,0,1,8,53,0,65,3,2,0,3,0,6,6,39,76,0,58,3
"855",2012-05-04,4,18,98,0,4,28,13,11,3,1,28,2,0,0,0,1,8,41,1,77,6,3,0,2,0,10,6,31,71,0,36,6
"856",2012-05-05,2,24,137,2,4,18,12,30,0,0,16,0,2,0,0,1,3,42,3,64,5,2,1,1,0,10,17,33,59,0,53,4
"857",2012-05-06,8,23,102,5,4,21,8,15,0,0,8,0,1,0,0,0,9,8,0,72,7,0,3,2,0,11,8,37,51,0,60,1
"858",2012-05-07,3,10,75,2,5,32,5,8,1,0,28,0,1,0,0,1,3,21,0,107,3,0,0,2,0,13,8,40,83,1,62,8
"859",2012-05-08,8,19,101,2,3,21,11,4,0,1,33,1,0,1,0,1,9,35,0,82,7,8,1,4,0,6,16,36,84,5,52,7
"860",2012-05-09,4,22,94,2,4,22,8,10,0,2,24,0,2,0,0,6,9,29,0,84,6,5,1,4,0,7,12,27,61,1,42,5
"861",2012-05-10,4,13,116,3,3,19,9,11,1,0,31,2,0,0,0,0,4,46,0,57,8,8,1,2,1,12,12,36,90,2,48,4
"862",2012-05-11,8,12,130,3,8,25,7,22,1,2,27,5,0,0,0,0,8,47,1,90,8,8,0,2,0,8,15,30,71,0,44,6
"863",2012-05-12,7,23,150,1,6,26,14,27,0,0,16,0,1,0,0,3,7,32,0,76,5,5,4,2,0,10,13,28,70,1,43,7
"864",2012-05-13,10,20,145,2,2,14,12,8,1,0,3,0,0,0,0,0,8,9,0,47,3,0,0,4,0,13,9,46,48,6,54,2
"865",2012-05-14,4,16,110,2,5,20,11,5,1,0,43,0,3,0,0,1,8,24,2,80,11,0,0,5,0,9,13,41,94,0,58,7
"866",2012-05-15,3,23,102,2,5,24,10,8,1,1,21,2,0,0,0,0,14,60,0,90,18,3,2,5,0,7,19,33,63,0,32,11
"867",2012-05-16,8,14,110,0,7,22,17,12,2,1,30,0,0,0,0,2,5,48,0,99,9,7,0,1,0,6,12,43,73,0,45,2
"868",2012-05-17,8,18,100,2,6,24,9,3,1,0,24,0,2,1,0,0,3,49,0,79,5,6,0,2,0,6,8,36,77,1,51,5
"869",2012-05-18,4,19,115,5,5,33,4,12,3,0,21,0,1,0,0,0,6,46,0,74,6,1,1,2,0,18,14,37,76,1,43,4
"870",2012-05-19,14,32,103,3,7,20,8,22,0,0,15,0,1,0,0,2,10,29,0,66,2,3,0,1,0,9,18,40,66,0,62,3
"871",2012-05-20,12,23,103,4,5,11,7,13,0,0,15,0,3,0,0,0,8,13,0,79,4,0,2,0,0,7,9,39,62,0,68,3
"872",2012-05-21,5,12,92,1,7,26,6,5,1,2,25,0,0,0,0,1,3,16,0,92,9,0,1,5,0,10,15,37,67,1,57,6
"873",2012-05-22,9,13,91,1,3,29,18,11,3,0,26,0,1,0,0,0,13,39,3,93,10,5,0,4,0,7,6,36,78,0,44,3
"874",2012-05-23,6,21,95,5,9,31,25,6,2,0,26,0,2,0,0,2,8,37,0,83,4,12,1,4,0,13,11,39,85,1,58,2
"875",2012-05-24,7,17,91,1,7,23,9,11,6,0,30,0,1,2,0,0,8,34,0,72,3,9,4,6,0,6,11,36,66,1,42,6
"876",2012-05-25,5,13,141,0,5,33,17,15,1,0,23,1,0,0,0,1,9,41,1,86,10,5,1,3,1,17,19,33,78,2,50,4
"877",2012-05-26,6,28,168,4,3,17,14,18,0,0,16,0,1,0,0,2,5,38,2,73,1,7,2,3,1,7,12,33,56,1,54,5
"878",2012-05-27,7,26,228,2,5,19,30,23,0,1,7,0,1,0,0,0,2,23,1,61,4,0,4,5,0,15,12,35,56,2,51,3
"879",2012-05-28,15,14,121,1,4,27,6,11,1,0,3,0,2,0,0,0,12,19,1,80,2,0,0,2,0,5,12,45,44,0,48,4
"880",2012-05-29,7,23,108,1,7,34,5,11,1,0,19,0,2,0,0,0,12,35,0,86,6,4,0,4,0,9,7,53,72,0,49,1
"881",2012-05-30,7,23,120,1,5,41,9,6,0,0,33,0,3,1,0,3,9,36,0,88,2,8,0,3,0,7,12,41,67,2,36,5
"882",2012-05-31,12,20,116,2,3,28,13,9,2,0,28,0,1,0,0,1,10,41,1,92,8,10,2,1,0,8,5,37,85,0,39,4
"883",2012-06-01,5,22,121,1,3,38,8,4,2,1,38,1,2,0,0,0,11,40,0,88,7,2,0,2,0,9,25,40,69,0,45,4
"884",2012-06-02,4,15,117,1,4,17,18,20,0,0,23,0,0,0,0,0,3,39,0,61,2,0,1,0,0,7,12,26,66,0,38,3
"885",2012-06-03,7,17,131,1,1,19,13,17,1,0,4,0,1,0,0,2,5,16,1,75,3,0,0,2,0,8,12,34,60,0,56,4
"886",2012-06-04,5,24,117,2,9,32,12,10,0,2,31,0,1,1,0,1,8,25,0,82,2,0,0,1,0,9,13,50,81,0,42,4
"887",2012-06-05,8,20,112,3,7,23,8,7,2,1,27,1,2,0,0,2,8,56,0,77,8,10,0,2,0,6,8,37,77,0,46,6
"888",2012-06-06,9,26,123,3,7,28,25,4,1,1,31,0,1,1,0,4,8,38,1,73,4,7,2,1,0,10,11,31,65,1,32,4
"889",2012-06-07,4,12,129,2,4,30,12,9,1,1,27,1,0,0,0,1,5,52,0,90,8,7,2,1,0,10,11,39,81,0,42,3
"890",2012-06-08,5,24,139,2,23,24,15,21,3,1,32,0,1,0,0,1,5,49,1,70,10,5,1,3,0,5,12,35,96,2,37,5
"891",2012-06-09,4,24,239,0,6,19,11,20,0,0,11,0,1,0,0,0,8,37,5,70,2,9,2,2,0,8,12,40,40,2,65,5
"892",2012-06-10,5,25,103,1,3,19,7,17,0,0,8,0,0,0,0,1,0,10,0,70,3,0,5,3,0,5,9,43,53,0,52,2
"893",2012-06-11,7,17,95,1,10,23,13,5,0,0,37,0,3,0,0,0,17,28,0,90,3,0,0,3,0,9,18,39,86,0,65,2
"894",2012-06-12,7,24,75,2,9,29,6,9,1,1,30,0,2,1,0,5,6,31,1,66,7,2,0,5,0,4,16,42,69,7,30,4
"895",2012-06-13,4,16,105,2,2,23,4,6,0,0,27,0,1,0,0,7,8,36,1,69,3,8,0,6,0,13,10,53,75,1,42,1
"896",2012-06-14,7,24,150,2,4,19,14,8,2,2,25,0,0,1,0,6,7,34,1,83,8,10,3,0,0,7,15,48,87,1,50,1
"897",2012-06-15,5,15,143,2,8,28,13,17,1,4,37,0,0,1,0,8,14,30,1,89,6,2,0,2,0,6,5,48,72,1,42,4
"898",2012-06-16,7,19,147,0,3,24,9,12,1,0,15,0,2,0,0,4,8,25,1,71,2,5,3,4,1,11,6,18,58,1,55,4
"899",2012-06-17,6,23,108,5,5,19,7,23,0,0,5,0,0,0,0,0,6,14,0,80,3,0,1,1,0,7,8,37,60,0,47,3
"900",2012-06-18,8,25,129,2,10,30,9,13,1,1,26,1,0,0,0,0,7,18,0,76,8,0,2,1,0,5,15,35,69,0,55,2
"901",2012-06-19,7,15,130,3,10,23,11,5,2,1,53,0,0,0,0,2,12,46,1,72,10,9,1,5,0,10,17,43,71,3,66,6
"902",2012-06-20,5,19,147,0,8,20,11,8,4,1,36,0,1,0,0,1,9,21,1,64,5,10,0,2,0,6,13,44,64,3,51,8
"903",2012-06-21,6,17,136,1,8,24,9,7,0,2,26,0,0,0,0,8,9,31,0,50,8,6,0,2,0,8,17,42,68,3,44,1
