"","date_value","type","group","value"
"160",2014-06-09,"arrest","violent",24
"161",2014-06-10,"arrest","violent",26
"162",2014-06-11,"arrest","violent",36
"163",2014-06-12,"arrest","violent",33
"164",2014-06-13,"arrest","violent",22
"165",2014-06-14,"arrest","violent",22
"166",2014-06-15,"arrest","violent",33
"167",2014-06-16,"arrest","violent",31
"168",2014-06-17,"arrest","violent",29
"169",2014-06-18,"arrest","violent",35
"170",2014-06-19,"arrest","violent",37
"171",2014-06-20,"arrest","violent",33
"172",2014-06-21,"arrest","violent",26
"173",2014-06-22,"arrest","violent",27
"174",2014-06-23,"arrest","violent",30
"175",2014-06-24,"arrest","violent",43
"176",2014-06-25,"arrest","violent",39
"177",2014-06-26,"arrest","violent",33
"178",2014-06-27,"arrest","violent",42
"179",2014-06-28,"arrest","violent",38
"180",2014-06-29,"arrest","violent",18
"181",2014-06-30,"arrest","violent",33
"182",2014-07-01,"arrest","violent",28
"183",2014-07-02,"arrest","violent",36
"184",2014-07-03,"arrest","violent",35
"185",2014-07-04,"arrest","violent",30
"186",2014-07-05,"arrest","violent",30
"187",2014-07-06,"arrest","violent",26
"188",2014-07-07,"arrest","violent",28
"189",2014-07-08,"arrest","violent",38
"190",2014-07-09,"arrest","violent",41
"191",2014-07-10,"arrest","violent",32
"192",2014-07-11,"arrest","violent",34
"193",2014-07-12,"arrest","violent",16
"194",2014-07-13,"arrest","violent",22
"195",2014-07-14,"arrest","violent",29
"196",2014-07-15,"arrest","violent",33
"197",2014-07-16,"arrest","violent",30
"198",2014-07-17,"arrest","violent",39
"199",2014-07-18,"arrest","violent",41
"200",2014-07-19,"arrest","violent",24
"201",2014-07-20,"arrest","violent",5
"202",2014-07-21,"arrest","violent",39
"203",2014-07-22,"arrest","violent",33
"204",2014-07-23,"arrest","violent",27
"205",2014-07-24,"arrest","violent",39
"206",2014-07-25,"arrest","violent",21
"207",2014-07-26,"arrest","violent",21
"208",2014-07-27,"arrest","violent",40
"209",2014-07-28,"arrest","violent",21
"210",2014-07-29,"arrest","violent",54
"211",2014-07-30,"arrest","violent",44
"212",2014-07-31,"arrest","violent",24
"213",2014-08-01,"arrest","violent",25
"214",2014-08-02,"arrest","violent",24
"215",2014-08-03,"arrest","violent",18
"216",2014-08-04,"arrest","violent",38
"217",2014-08-05,"arrest","violent",37
"218",2014-08-06,"arrest","violent",27
"219",2014-08-07,"arrest","violent",39
"220",2014-08-08,"arrest","violent",35
"221",2014-08-09,"arrest","violent",25
"222",2014-08-10,"arrest","violent",31
"223",2014-08-11,"arrest","violent",30
"224",2014-08-12,"arrest","violent",24
"225",2014-08-13,"arrest","violent",34
"226",2014-08-14,"arrest","violent",35
"227",2014-08-15,"arrest","violent",33
"228",2014-08-16,"arrest","violent",30
"229",2014-08-17,"arrest","violent",26
"230",2014-08-18,"arrest","violent",27
"231",2014-08-19,"arrest","violent",31
"232",2014-08-20,"arrest","violent",37
"233",2014-08-21,"arrest","violent",25
"234",2014-08-22,"arrest","violent",23
"235",2014-08-23,"arrest","violent",20
"236",2014-08-24,"arrest","violent",27
"237",2014-08-25,"arrest","violent",35
"238",2014-08-26,"arrest","violent",44
"239",2014-08-27,"arrest","violent",26
"240",2014-08-28,"arrest","violent",32
"241",2014-08-29,"arrest","violent",21
