"","date_value","arrests_violent","arrests_property","arrests_drugs","arrests_firearms","arrests_other","arrests_uncategorized","charges_violent","charges_property","charges_drugs","charges_firearms","charges_other","charges_uncategorized"
"92",2014-04-02,38,10,68,6,7,25,38,16,51,8,8,13
"93",2014-04-03,33,18,64,8,11,26,40,19,66,8,11,8
"94",2014-04-04,44,13,54,10,3,37,41,16,66,6,3,16
"95",2014-04-05,28,16,58,5,2,25,21,17,52,8,1,12
"96",2014-04-06,18,14,37,0,0,24,19,11,36,1,1,8
"97",2014-04-07,30,12,29,2,4,16,34,23,34,1,4,11
"98",2014-04-08,33,29,40,3,4,23,41,15,28,4,3,7
"99",2014-04-09,23,18,67,6,5,41,28,27,65,6,4,21
"100",2014-04-10,36,21,88,3,5,31,24,15,71,3,7,14
"101",2014-04-11,23,20,69,3,3,31,37,27,75,2,2,19
"102",2014-04-12,30,17,72,1,5,27,29,21,82,1,2,7
"103",2014-04-13,32,13,40,3,1,36,38,12,53,0,3,18
"104",2014-04-14,16,28,25,3,2,19,15,13,14,7,1,8
"105",2014-04-15,40,15,43,1,5,22,37,18,39,1,4,13
"106",2014-04-16,25,17,67,3,8,22,38,23,57,1,9,16
"107",2014-04-17,24,15,64,1,14,33,26,17,49,2,9,8
"108",2014-04-18,51,24,79,7,5,41,39,15,91,5,9,14
"109",2014-04-19,22,13,84,2,2,30,48,22,85,5,3,17
"110",2014-04-20,11,10,27,4,3,25,21,16,49,4,3,13
"111",2014-04-21,28,13,42,5,3,21,19,12,19,4,0,9
"112",2014-04-22,31,28,53,2,3,22,40,25,39,4,2,13
"113",2014-04-23,35,16,61,12,6,15,32,19,60,5,9,8
"114",2014-04-24,32,21,103,4,2,23,30,20,81,10,3,16
"115",2014-04-25,24,22,56,4,9,34,28,17,88,3,9,8
"116",2014-04-26,28,19,59,2,4,22,22,29,69,3,5,15
"117",2014-04-27,29,11,47,3,0,26,34,18,45,3,0,18
"118",2014-04-28,14,22,31,7,7,21,14,13,31,5,4,8
"119",2014-04-29,37,24,46,5,8,44,29,30,37,5,9,19
"120",2014-04-30,30,52,55,2,8,22,44,55,55,4,4,13
"121",2014-05-01,27,14,58,2,4,16,25,10,38,1,8,3
"122",2014-05-02,21,18,82,9,15,28,24,15,81,8,14,9
"123",2014-05-03,28,16,77,1,2,24,22,12,89,2,3,8
"124",2014-05-04,20,20,32,4,0,20,28,28,47,4,0,15
"125",2014-05-05,32,22,23,1,1,15,28,19,13,0,0,7
"126",2014-05-06,38,9,66,2,8,23,43,15,55,2,8,6
"127",2014-05-07,36,30,62,7,5,23,31,19,51,5,4,31
"128",2014-05-08,35,13,65,4,8,33,21,17,57,4,7,41
"129",2014-05-09,34,19,87,3,9,29,40,16,68,4,9,7
"130",2014-05-10,20,24,77,7,7,27,26,20,84,3,6,15
"131",2014-05-11,23,11,34,4,0,15,32,21,47,6,1,8
"132",2014-05-12,36,16,40,3,0,21,29,15,26,3,0,9
"133",2014-05-13,43,21,43,2,2,37,37,20,35,1,2,22
"134",2014-05-14,42,17,73,6,8,32,46,17,64,6,6,16
"135",2014-05-15,31,20,56,6,5,26,30,18,53,4,4,15
"136",2014-05-16,43,29,55,3,3,22,38,20,76,6,6,16
"137",2014-05-17,24,14,47,2,3,17,36,31,47,3,3,9
"138",2014-05-18,15,14,32,2,1,23,18,11,34,1,0,10
"139",2014-05-19,22,39,32,2,0,11,21,32,28,1,0,14
"140",2014-05-20,32,19,43,2,4,17,23,30,38,3,4,14
"141",2014-05-21,33,21,41,10,6,20,38,23,42,7,5,13
"142",2014-05-22,23,26,85,5,5,30,25,22,66,6,5,15
"143",2014-05-23,36,26,76,3,3,32,40,27,72,3,4,14
"144",2014-05-24,25,8,80,5,6,23,21,14,90,6,4,13
"145",2014-05-25,32,14,41,2,0,28,35,17,58,1,3,15
"146",2014-05-26,29,8,22,1,0,24,34,10,24,1,0,25
"147",2014-05-27,28,22,50,3,1,22,32,15,43,4,1,12
"148",2014-05-28,35,30,67,8,14,33,26,26,45,4,12,16
"149",2014-05-29,36,30,45,7,7,31,30,28,57,11,9,16
"150",2014-05-30,41,22,71,5,5,22,45,22,48,2,4,13
"151",2014-05-31,20,13,91,7,1,14,19,23,84,10,0,11
"152",2014-06-01,34,10,31,3,4,23,30,10,64,6,4,10
"153",2014-06-02,40,30,40,3,4,15,45,42,33,0,5,15
"154",2014-06-03,23,23,49,3,1,31,28,18,42,3,1,24
"155",2014-06-04,36,36,65,6,4,20,30,31,62,8,3,12
"156",2014-06-05,27,26,78,4,6,23,27,35,84,3,8,16
"157",2014-06-06,42,14,71,4,20,31,44,11,60,5,20,19
"158",2014-06-07,27,12,71,4,5,22,36,14,77,4,4,17
"159",2014-06-08,21,10,20,2,5,23,24,14,41,2,6,8
"160",2014-06-09,24,21,25,2,2,31,23,23,16,1,2,15
"161",2014-06-10,26,25,44,4,8,23,35,23,35,5,7,9
"162",2014-06-11,36,25,95,4,9,26,33,25,83,5,12,19
"163",2014-06-12,33,18,54,2,10,20,43,17,57,2,12,15
"164",2014-06-13,22,26,61,4,10,29,23,26,62,4,7,14
"165",2014-06-14,22,12,74,2,5,30,23,24,81,2,7,19
"166",2014-06-15,33,11,52,3,5,20,29,12,48,1,6,10
"167",2014-06-16,31,21,21,3,10,22,25,15,20,0,8,11
"168",2014-06-17,29,19,31,4,0,20,34,30,29,3,1,11
